,T,PdNH3,PdO,PdN,PdH2O,PdNO,PdN2O
0,300,0.0004653175102022999,0.0001334778362932894,8.655760420139887e-05,0.0006308741218597542,0.0005101806435082365,0.0009068471779946082
1,400,0.0005785082641540893,0.00019347974875501,0.00013893998808758252,0.0007427258008211553,0.0006219402574975385,0.0010727828351666342
2,500,0.0006788661360565769,0.0002441507300535272,0.00018557206416993738,0.0008353627977368733,0.0007141544371731415,0.0012083283207207493
3,600,0.0007695247181598683,0.00028736955031622845,0.00022644229669677922,0.0009148081762348282,0.0007929157621043561,0.0013235662491439737
4,700,0.0008524911236191389,0.00032482341135524025,0.00026242376634729716,0.0009846934443142547,0.0008618041114556839,0.001424182444202974
5,800,0.0009292091513925749,0.00035777304816917306,0.00029439419745769333,0.0010473733345990111,0.0009230645836250141,0.001513666810871869
6,900,0.0010007517723393325,0.0003871383808411365,0.00032307719646352016,0.001104451315228562,0.0009782147099100537,0.0015943221266573404
7,1000,0.0010679154441364373,0.00041359735416820814,0.00034904251959233,0.0011570488037595293,0.0010283438295116817,0.001667762032291445
8,1100,0.0011312930900127113,0.0004376588101034404,0.0003727356976052364,0.001205965273030227,0.0010742687276279464,0.0017351729467088158
9,1200,0.0011913334322584787,0.00045971219423164165,0.0003945072337896612,0.0012517823572635776,0.0011166212952517301,0.0017974603225645734
10,1300,0.0012483855068243673,0.0004800611426817677,0.000414635789515545,0.0012949334215779389,0.0011559018811261666,0.0018553352741992719
11,1400,0.001302729748270171,0.0004989464209766988,0.00043334553633657717,0.0013357500828150809,0.0011925139087225229,0.001909368831727766
12,1500,0.0013545987276473203,0.0005165618609734076,0.00045081894131709325,0.0013744931822724173,0.0012267874724681998,0.0019600276606316783
13,1600,0.0014041906696842966,0.0005330656421635003,0.00046720619376184566,0.0014113733848279875,0.0012589960333894514,0.0020076986054945677
14,1700,0.0014516782181889336,0.0005485884258336634,0.00048263220734507756,0.001446564941269481,0.0012893685748382997,0.002052706163558758
15,1800,0.0014972141782494952,0.0005632393230867636,0.0004972018746602128,0.0014802149780292321,0.0013180986543799734,0.0020953252912348287
16,1900,0.0015409353676432566,0.0005771103449577516,0.0005110040548070731,0.0015124498653450032,0.001345351269017427,0.002135791015478042
17,2000,0.0015829652910634667,0.0005902797704765266,0.00052411463401625,0.001543379669343203,0.0013712681426457781,0.0021743057895675677
