,T,PdNH3,PdO,PdN,PdH2O,PdNO,PdN2O
0,300,0.0004327660872290892,0.0001276196935198234,8.673452902895705e-05,0.0005591129212291319,0.0003776740939482226,0.0007697436580586497
1,400,0.0005476955913172516,0.00018689763237912617,0.00013916245056183545,0.0006730974919177049,0.00048733049662218485,0.0009075870154435612
2,500,0.000649287865539586,0.00023719684016308148,0.00018582013751176413,0.000766905895837328,0.0005789139603116314,0.0010217571383543621
3,600,0.0007407940586480262,0.000280202972692075,0.00022670571813844303,0.0008470707014846505,0.0006576007780569499,0.0011197364753985125
4,700,0.0008243297479625392,0.00031752474591339764,0.00026269697825924524,0.000917437485934308,0.0007266161789490896,0.0012058797376691313
5,800,0.0009014208533376421,0.0003503870582730258,0.0002946739916849673,0.0009804622938325079,0.0007880629022406131,0.0012829123374274852
6,900,0.0009732002626028114,0.0003796917824766018,0.00032336161085485653,0.001037800981194719,0.0008434027630253697,0.0013526540743753845
7,1000,0.0010405074477639596,0.0004061070292970279,0.0003493302936152966,0.0010906038209551432,0.0008937051326582216,0.0014163908129294106
8,1100,0.0011039657179678065,0.00043013593015235076,0.00037302598732232733,0.0011396870607128212,0.0009397814030983326,0.0014750748607380941
9,1200,0.0011640449290528504,0.0004521644374365221,0.0003947994541633252,0.0011856426248926253,0.0009822637730370692,0.0015294382258460584
10,1300,0.0012211086222250116,0.00047249395612755386,0.00041492952281283954,0.0012289105480017882,0.0010216548873136484,0.0015800599668107727
11,1400,0.0012754470826037256,0.0004913637739077873,0.0004336404766285625,0.001269827007386247,0.0010583609287240715,0.001627408386137329
12,1500,0.001327299512540537,0.0005089667129489233,0.00045111485959003865,0.0013086561173765556,0.001092714621230072,0.001671868805671871
13,1600,0.0013768685653051727,0.0005254602442352116,0.00046750291527071925,0.0013456109893136238,0.0011249917277598733,0.0017137626734499056
14,1700,0.0014243298167908333,0.0005409745201935507,0.0004829295964941584,0.0013808677625597554,0.001155423171174695,0.0017533612063942705
15,1800,0.0014698379923869008,0.0005556182789218644,0.0004974998246552471,0.001414575057867012,0.0011842041138935212,0.001790895434567523
16,1900,0.0015135311484380303,0.0005694832530534577,0.0005113024804152614,0.0014468604499935011,0.0012115008702670335,0.001826563782418805
17,2000,0.0015555335702717467,0.0005826475104572617,0.0005244134663999698,0.0014778349896704332,0.0012374562428367336,0.001860537907865593
